"typ";"quelle_url";"bild_url";"alt_text"
"seiten";"https://www.deinbier-allgaeu.de/brauseminar-2/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2022/01/sud2.jpg";"Die Maische im Sudkessel muss kräftig gerührt werden"
"seiten";"https://www.deinbier-allgaeu.de/brauseminar-2/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2022/01/sud3.jpg";"Sud im Braukessel"
"seiten";"https://www.deinbier-allgaeu.de/brauseminar-2/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2022/01/tank.jpg";"Im Gärtank wird der abgekühlte Sud mit Hefe versetzt und der Gärprozess startet."
"seiten";"https://www.deinbier-allgaeu.de/brauseminar-2/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2022/01/treber.jpg";"Der Trebermeister schaufelt den Treber aus dem Läuterbottich ab"
"seiten";"https://www.deinbier-allgaeu.de/brauseminar-2/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2022/02/Brauen_auswaerts_1.jpeg";"Dein Bier Brauseminar bei Euch Zuhause"
"seiten";"https://www.deinbier-allgaeu.de/brauseminar-2/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2022/02/Brauen_auswaerts_2.jpeg";"Dein Bier Brauseminar bei Euch Zuhause"
"seiten";"https://www.deinbier-allgaeu.de/brauseminar-2/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2022/02/Brauseminar_1.jpg";"Gemeinsames Bierbrauen mit Freunden"
"seiten";"https://www.deinbier-allgaeu.de/brauseminar-2/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2022/02/Brauseminar_2.jpg";"Gemeinsames Bierbrauen mit Freunden"
"seiten";"https://www.deinbier-allgaeu.de/brauseminar-2/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2022/02/Brauseminar_3.jpg";"Gemeinsames Bierbrauen mit Freunden"
"seiten";"https://www.deinbier-allgaeu.de/brauseminar-2/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2022/02/Brauseminar_4.jpg";"Gemeinsames Bierbrauen mit Freunden"
"seiten";"https://www.deinbier-allgaeu.de/events-service/leihinventar/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2022/02/Bierkuehler-300x200.jpg";"Verleih Dein Bier Allgäu, Hausen 3, 87665 Mauerstetten"
"seiten";"https://www.deinbier-allgaeu.de/events-service/leihinventar/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2022/02/Biertischgarnitur-300x200.png";"Verleih Dein Bier Allgäu"
"seiten";"https://www.deinbier-allgaeu.de/events-service/leihinventar/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2022/02/Feuerschalengrill-300x241.jpg";"Verleih Dein Bier Allgäu, Hausen 3, 87665 Mauerstetten"
"seiten";"https://www.deinbier-allgaeu.de/events-service/leihinventar/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2022/02/pavillion-300x204.jpg";"Unser Pavillion für ihre Party mit den Abmaß 3x3m"
"seiten";"https://www.deinbier-allgaeu.de/events-service/leihinventar/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2022/02/Stehtisch_rund-300x300.jpg";"Verleih Dein Bier Allgäu, Hausen 3, 87665 Mauerstetten"
"seiten";"https://www.deinbier-allgaeu.de/events-service/leihinventar/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2022/02/zirkuszelt_klein-300x200.jpg";"Unser Zirkuszelt für ihre Party 12 m Durchmesser"
"seiten";"https://www.deinbier-allgaeu.de/ferienwohnung/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2023/03/215x300_blauer-gockel-Kopie.png";"Blauer Gockel"
"seiten";"https://www.deinbier-allgaeu.de/ferienwohnung/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2023/03/csm_Genussmacher_Logo_neutral_7a8e8e79d8.webp";"Allgäuer GenussMacher"
"seiten";"https://www.deinbier-allgaeu.de/ferienwohnung/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2023/03/eroeffnung-wdg_10.jpg";"Ferienwohnung Landhof Eselblick Brauerei DEINBIER Frankenried-Mauerstetten"
"seiten";"https://www.deinbier-allgaeu.de/ferienwohnung/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2023/03/eroeffnung-wdg_11.jpg";"Ferienwohnung Landhof Eselblick Brauerei DEINBIER Frankenried-Mauerstetten"
"seiten";"https://www.deinbier-allgaeu.de/ferienwohnung/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2023/03/eroeffnung-wdg_14.jpg";"Ferienwohnung Landhof Eselblick Brauerei DEINBIER Frankenried-Mauerstetten"
"seiten";"https://www.deinbier-allgaeu.de/ferienwohnung/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2023/03/eroeffnung-wdg_2.jpg";"Ferienwohnung Landhof Eselblick Brauerei DEINBIER Frankenried-Mauerstetten"
